   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 763,          1142,             381,           1000,      3767,           0,        999
 764,          1143,             381,              0,      3766,           0,       1004
 765,          1144,             381,           1003,      3762,           0,       1000
 766,          1145,             381,              0,      3784,           0,       2000
 767,          1146,             381,              0,      3790,           0,       1999
 768,          1149,             383,              0,      3801,           0,       2506
 769,          1151,             384,              0,      3803,           0,       2003
 770,          1152,             384,              0,      3814,           0,        999
 771,          1153,             384,           1000,      3822,           0,       1000
 772,          1154,             384,            998,      3791,           0,       2000
 773,          1156,             385,            502,      3795,           0,       1003
 774,          1159,             387,              0,      3819,           0,       2000
 775,          1160,             387,              0,      3820,           0,       1999
 776,          1161,             387,            999,      3821,           0,       1000
 777,          1162,             387,              0,      3825,           0,       2506
 778,          1163,             387,           1000,      3842,           0,       1002
 779,          1164,             387,           1000,      3839,           0,       2000
 780,          1165,             387,              0,      3842,           0,       1999
 781,          1166,             387,              0,      3848,           0,       1503
 782,          1167,             387,              0,      3851,           0,       2008
 783,          1168,             387,              0,      3863,           0,        999
 784,          1169,             387,           1000,      3864,           0,       1001
 785,          1170,             387,              0,      3867,           0,       1000
 786,          1171,             387,           1502,      3869,           0,       2004
 787,          1172,             387,              0,      3873,           0,       2004
 788,          1173,             387,              0,      3877,           0,       1000
 789,          1175,             388,            999,      3869,           0,        999
 790,          1176,             388,              0,      3890,           0,       2003
 791,          1178,             389,              0,      3898,           0,       1003
 792,          1179,             389,           1000,      3890,           0,        999
 793,          1180,             389,              0,      3897,           0,       1998
 794,          1181,             389,              0,      3927,           0,       1502
 795,          1182,             389,              0,      3922,           0,       2009
 796,          1183,             389,           1002,      3913,           0,        997
 797,          1184,             389,            999,      3934,           0,       2000
 798,          1185,             389,              0,      3937,           0,        998
 799,          1186,             389,              0,      3932,           0,       2004
 800,          1188,             390,              0,      3945,           0,       2004
 801,          1189,             390,            999,      3948,           0,       1012
 802,          1190,             390,              0,      3957,           0,       2001
 803,          1191,             390,              0,      3952,           0,       1507
 804,          1192,             390,              0,      3952,           0,       2002
 805,          1193,             390,              0,      3961,           0,       1001
 806,          1194,             390,            998,      3965,           0,       1999
 807,          1195,             390,              0,      3972,           0,       1502
 808,          1196,             390,              0,      3985,           0,       2004
 809,          1197,             390,              0,      3984,           0,        999
 810,          1198,             390,           1001,      3988,           0,       1998
 811,          1200,             391,              0,      3995,           0,       2000
 812,          1202,             392,              0,      4002,           0,       2007
 813,          1203,             392,              0,      4011,           0,       1999
 814,          1204,             392,           1000,      4022,           0,       1000
 815,          1206,             393,              0,      4017,           0,       1000
 816,          1208,             394,              0,      4027,           0,       2004
 817,          1210,             395,              0,      4029,           0,       1000
 818,          1215,             399,            999,      4041,           0,       1000
 819,          1216,             399,              0,      4034,           0,       2000
 820,          1217,             399,            999,      4034,           0,       1506
 821,          1218,             399,              0,      4049,           0,        998
 822,          1219,             399,              0,      4065,           0,       1999
 823,          1220,             399,           1000,      4059,           0,        999
 824,          1221,             399,           1502,      4065,           0,       1004
 825,          1222,             399,              0,      4070,           0,       2000
 826,          1223,             399,              0,      4076,           0,        999
